802.0,246.0,47.0,24.0
805.0,245.0,47.0,26.0
769.0,256.0,51.0,22.0
740.0,256.0,45.0,22.0
709.0,258.0,40.0,27.0
697.0,259.0,51.0,26.0
716.0,284.0,47.0,20.0
785.0,294.0,38.0,23.0
890.0,317.0,38.0,24.0
933.0,330.0,44.0,25.0
927.0,338.0,38.0,27.0
903.0,341.0,37.0,22.0
870.0,330.0,45.0,26.0
864.0,311.0,48.0,24.0
802.0,287.0,35.0,24.0
759.0,271.0,36.0,23.0
787.0,226.0,44.0,24.0
863.0,203.0,50.0,24.0
1015.0,183.0,34.0,25.0
1105.0,192.0,39.0,24.0
1142.0,261.0,47.0,29.0
1129.0,291.0,49.0,33.0
1066.0,309.0,40.0,27.0
1035.0,322.0,40.0,29.0
992.0,341.0,60.0,28.0
987.0,355.0,52.0,29.0
987.0,378.0,41.0,29.0
985.0,380.0,46.0,28.0
973.0,370.0,44.0,30.0
971.0,351.0,35.0,31.0
975.0,318.0,32.0,29.0
971.0,305.0,36.0,30.0
968.0,302.0,28.0,28.0
956.0,260.0,25.0,32.0
877.0,239.0,26.0,37.0
815.0,232.0,24.0,33.0
747.0,247.0,22.0,34.0
729.0,304.0,22.0,36.0
719.0,415.0,27.0,33.0
720.0,464.0,31.0,32.0
730.0,494.0,24.0,32.0
727.0,506.0,34.0,29.0
744.0,506.0,42.0,27.0
761.0,479.0,35.0,29.0
769.0,428.0,38.0,27.0
775.0,398.0,46.0,25.0
769.0,374.0,41.0,27.0
752.0,359.0,34.0,32.0
701.0,339.0,48.0,33.0
681.0,329.0,52.0,29.0
683.0,313.0,44.0,34.0
685.0,299.0,45.0,37.0
669.0,305.0,58.0,34.0
675.0,314.0,53.0,30.0
681.0,319.0,52.0,32.0
680.0,328.0,59.0,34.0
687.0,342.0,61.0,31.0
698.0,344.0,63.0,29.0
720.0,340.0,64.0,33.0
730.0,343.0,68.0,30.0
747.0,351.0,64.0,30.0
752.0,360.0,61.0,30.0
746.0,375.0,65.0,31.0
744.0,382.0,75.0,30.0
772.0,376.0,62.0,31.0
780.0,375.0,60.0,30.0
784.0,365.0,73.0,26.0
785.0,344.0,73.0,29.0
770.0,351.0,66.0,28.0
736.0,357.0,68.0,26.0
664.0,353.0,77.0,31.0
628.0,349.0,67.0,30.0
558.0,349.0,66.0,26.0
518.0,348.0,70.0,28.0
475.0,352.0,62.0,28.0
458.0,364.0,55.0,25.0
447.0,375.0,53.0,30.0
473.0,380.0,47.0,27.0
545.0,381.0,40.0,27.0
611.0,375.0,38.0,27.0
653.0,377.0,41.0,29.0
666.0,378.0,27.0,28.0
656.0,384.0,32.0,26.0
657.0,386.0,31.0,27.0
667.0,383.0,27.0,30.0
672.0,390.0,24.0,29.0
678.0,405.0,24.0,27.0
677.0,411.0,26.0,28.0
671.0,408.0,23.0,29.0
663.0,410.0,23.0,29.0
650.0,408.0,32.0,26.0
642.0,407.0,36.0,28.0
629.0,388.0,33.0,27.0
618.0,391.0,45.0,26.0
612.0,369.0,44.0,28.0
618.0,366.0,29.0,25.0
628.0,360.0,29.0,25.0
641.0,361.0,25.0,26.0
669.0,344.0,31.0,26.0
691.0,351.0,35.0,23.0
