448.0,386.0,136.0,121.0
448.0,361.0,141.0,122.0
438.0,353.0,147.0,122.0
436.0,346.0,148.0,115.0
414.0,348.0,171.0,105.0
398.0,335.0,164.0,98.0
387.0,327.0,164.0,103.0
367.0,327.0,167.0,104.0
375.0,319.0,148.0,114.0
362.0,325.0,157.0,109.0
343.0,329.0,170.0,120.0
343.0,326.0,158.0,115.0
306.0,327.0,173.0,112.0
284.0,324.0,157.0,110.0
273.0,320.0,152.0,115.0
244.0,326.0,156.0,110.0
247.0,326.0,142.0,111.0
226.0,325.0,136.0,114.0
214.0,330.0,135.0,109.0
229.0,322.0,108.0,113.0
233.0,322.0,93.0,115.0
212.0,310.0,100.0,121.0
198.0,308.0,99.0,118.0
170.0,312.0,104.0,112.0
148.0,319.0,111.0,114.0
137.0,325.0,113.0,110.0
150.0,339.0,96.0,115.0
169.0,354.0,99.0,110.0
167.0,354.0,119.0,114.0
153.0,378.0,134.0,126.0
141.0,427.0,149.0,109.0
157.0,429.0,127.0,107.0
159.0,424.0,122.0,112.0
147.0,416.0,124.0,101.0
141.0,382.0,132.0,106.0
132.0,353.0,143.0,105.0
146.0,322.0,128.0,107.0
153.0,319.0,127.0,105.0
140.0,325.0,143.0,97.0
130.0,326.0,142.0,94.0
114.0,329.0,155.0,91.0
115.0,328.0,146.0,95.0
126.0,321.0,126.0,102.0
109.0,327.0,138.0,96.0
118.0,331.0,136.0,89.0
143.0,318.0,131.0,92.0
141.0,310.0,144.0,91.0
150.0,310.0,141.0,89.0
157.0,305.0,131.0,94.0
174.0,312.0,104.0,90.0
165.0,322.0,108.0,97.0
153.0,320.0,111.0,106.0
158.0,325.0,105.0,98.0
162.0,335.0,118.0,99.0
181.0,334.0,130.0,101.0
216.0,334.0,120.0,105.0
242.0,334.0,108.0,105.0
260.0,331.0,111.0,100.0
260.0,337.0,114.0,91.0
246.0,334.0,124.0,92.0
231.0,335.0,129.0,93.0
208.0,331.0,123.0,102.0
207.0,353.0,110.0,92.0
206.0,359.0,119.0,87.0
220.0,353.0,120.0,96.0
233.0,353.0,112.0,89.0
241.0,352.0,116.0,86.0
274.0,326.0,99.0,93.0
288.0,336.0,88.0,83.0
290.0,337.0,82.0,86.0
285.0,332.0,81.0,89.0
292.0,335.0,80.0,80.0
314.0,330.0,58.0,87.0
318.0,329.0,61.0,81.0
324.0,323.0,55.0,86.0
332.0,310.0,54.0,91.0
340.0,312.0,58.0,84.0
366.0,320.0,45.0,63.0
377.0,310.0,42.0,64.0
397.0,297.0,45.0,70.0
404.0,289.0,53.0,79.0
425.0,300.0,54.0,66.0
439.0,295.0,51.0,61.0
448.0,285.0,46.0,72.0
450.0,288.0,61.0,72.0
479.0,298.0,52.0,57.0
485.0,295.0,61.0,58.0
495.0,286.0,56.0,64.0
498.0,284.0,66.0,66.0
521.0,282.0,62.0,64.0
529.0,287.0,67.0,58.0
550.0,285.0,50.0,58.0
558.0,276.0,61.0,63.0
600.0,280.0,62.0,60.0
615.0,287.0,57.0,54.0
641.0,284.0,49.0,57.0
650.0,278.0,46.0,62.0
670.0,268.0,46.0,63.0
696.0,244.0,42.0,57.0
713.0,222.0,31.0,49.0
